geneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Me1_v2_0001350	0.6960264507864091	-1.4428644064359457	1.28546348587316	0.20098971580515318	0.3829757895820107	-4.806005322168034
Me1_v2_0039070	-0.695930394828344	4.497638714806749	-4.119293507496028	6.834599334631892e-5	0.0010388242876620036	1.3118546317962023
Me1_v2_0108670	0.695583172492305	2.8537666422405583	2.5641056127980986	0.011518979613730234	0.051319937891065835	-3.182835318784743
Me1_v2_0056520	-0.6955503567021166	5.921545147713302	-3.3765240639348715	9.768229062476958e-4	0.00838045718081696	-1.2639222458707113
Me1_v2_0134990	0.6955449063815875	0.6218560196677212	1.6963871866849265	0.09228359999820387	0.22704464549239717	-4.592710838353553
Me1_v2_0189280	0.6954150571958475	0.633867284164921	1.2164882749366959	0.22607449886387862	0.4142687622394384	-5.188979808151419
Me1_v2_0003060	0.6953516620090477	0.7789808622757108	2.2899237164853066	0.023689733454000283	0.08661725086662754	-3.5533366018720365
Me1_v2_0165120	-0.6952498314847269	6.1012672047879	-3.2734312156513266	0.001371865710390952	0.010839918598654012	-1.573860459738805
Me1_v2_0094070	0.6951941980655176	5.1980299596049795	3.0359317123244933	0.0029147231742514463	0.018840475969304025	-2.2761093934922974
Me1_v2_0099290	-0.6950869675651585	9.538466028016005	-3.306648925169339	0.0012306697803109612	0.00997968406542924	-1.2791703009408302
Me1_v2_0019800	0.6950751131418087	0.7047524933216723	2.034587659494194	0.043992338199305564	0.13613598607994576	-3.9577552107488096
Me1_v2_0205630	0.6949491498460558	5.786673745257327	2.4253326736527545	0.016712920227368297	0.06712535591543951	-3.8323671971358255
Me1_v2_0178310	-0.6947245922737315	1.356789953411779	-1.4349055177315482	0.15379332947811808	0.32019413538438424	-4.964558511050216
Me1_v2_0215700	-0.6944875713225298	-1.5848304715409027	-1.0000899289577787	0.31918512815562633	0.517289076722166	-5.00731301817998
Me1_v2_0055260	-0.694442437564921	2.937217862832178	-2.48906990651962	0.014112687539161946	0.05948411960169007	-3.3038416731506075
Me1_v2_0205570	-0.6943087186050945	4.0245839919320066	-2.731421919809589	0.007211975721875358	0.036622355445314315	-2.894857866787879
Me1_v2_0184080	-0.6942720699759506	3.470543193696391	-4.410226508094064	2.1908702251299532e-5	4.2134834995651786e-4	2.3932080562978593
